area,region,branch,wok,eznet_today,eznet_mtd,eznet_lastmtd,onedynamic_today,onedynamic_mtd,onedynamic_lastmtd,other_today,other_mtd,other_lastmtd,total_today,total_mtd,total_lastmtd,contribution_sp,mom
AREA 1,SUMBAGSEL,LAMPUNG,LAMPUNG TENGAH,0,0,0,0,0,0,26,121,105,26,121,105,0.00%,15.24%
AREA 1,SUMBAGSEL,PANGKAL PINANG,BANGKA SELATAN,0,0,0,0,0,0,18,148,147,18,148,147,0.00%,0.68%
AREA 1,SUMBAGTENG,BUKIT TINGGI,PAYAKUMBUH - PASAMAN,0,0,0,0,0,0,30,200,170,30,200,170,0.00%,17.65%
AREA 1,SUMBAGTENG,DUMAI,DUMAI ROKAN HILIR,0,0,0,0,0,0,15,87,109,15,87,109,0.00%,-20.18%
AREA 1,SUMBAGTENG,PEKANBARU,INDRAGIRI PELALAWAN,0,0,0,0,0,0,25,108,108,25,108,108,0.00%,0.00%
AREA 1,SUMBAGUT,BANDA ACEH,SABANG ACEH,0,0,0,0,0,0,53,294,214,53,294,214,0.00%,37.38%
AREA 1,SUMBAGUT,PADANG SIDEMPUAN,TAPANULI NIAS,0,0,0,0,0,0,29,119,127,29,119,127,0.00%,-6.30%
AREA 2,JABAR,TASIKMALAYA,GARUT,0,0,0,0,0,1,17,142,92,17,142,93,0.00%,52.69%
AREA 2,JAKARTA BANTEN,NORTHERN JAKARTA,JAKUT,0,0,0,0,0,0,75,403,300,75,403,300,0.00%,34.33%
AREA 2,JAKARTA BANTEN,SOUTHERN JAKARTA,JAKTIM,0,0,0,0,0,0,94,598,442,94,598,442,0.00%,35.29%
AREA 2,JAKARTA BANTEN,TANGERANG,TANGSEL,0,0,0,0,0,0,77,388,273,77,388,273,0.00%,42.12%
AREA 3,BALINUSRA,FLORES,ENDE SIKKA - FLORES TIMUR,0,0,0,0,0,0,27,112,126,27,112,126,0.00%,-11.11%
AREA 3,BALINUSRA,MATARAM,SUMBAWA BARAT - SUMBAWA TIMUR,0,0,0,0,0,0,32,189,175,32,189,175,0.00%,8.00%
AREA 3,JATENG,PEKALONGAN,BATANG,0,0,0,0,0,0,23,131,101,23,131,101,0.00%,29.70%
AREA 3,JATENG,SEMARANG,SEMARANG 2,0,0,0,0,0,0,35,231,192,35,231,192,0.00%,20.31%
AREA 3,JATENG,YOGYAKARTA,YOGYA 1,0,0,0,0,0,0,50,271,219,50,271,219,0.00%,23.74%
AREA 3,JATENG,YOGYAKARTA,YOGYA 2,0,0,0,0,0,0,39,253,234,39,253,234,0.00%,8.12%
AREA 3,JATIM,JEMBER,KOTA PROBOLINGGO,0,0,5,0,0,0,7,77,67,7,77,72,0.00%,6.94%
AREA 3,JATIM,SIDOARJO,SIDOARJO PASURUAN 1,0,0,0,0,0,0,48,321,198,48,321,198,0.00%,62.12%
AREA 4,KALIMANTAN,BALIKPAPAN,BALIKPAPAN,0,0,0,0,0,0,61,315,289,61,315,289,0.00%,9.00%
AREA 4,KALIMANTAN,PALANGKARAYA,PALANGKARAYA,0,0,0,0,0,0,20,133,124,20,133,124,0.00%,7.26%
AREA 4,KALIMANTAN,PANGKALAN BUN,PANGKALAN BUN,0,0,0,0,0,0,14,100,73,14,100,73,0.00%,36.99%
